image_num,nudi_num,trial_type,temp_grp,trial_ord,frame_num,rawx_m,rawy_m,v_ms,rawdeg,change_deg,fixx_m,fixy_m,fixdeg
1085,24,conspecific,18,1,1,0.373,0.266,NA,0,0,0,0,NA
1085,24,conspecific,18,1,2,0.409,0.297,8.02E-04,41.1,0,0.036,0.031,41.1
1085,24,conspecific,18,1,3,0.419,0.334,6.40E-04,74.846,33.746,0.046,0.068,74.846
1085,24,conspecific,18,1,4,0.419,0.288,7.72E-04,-90,-164.846,0.046,0.022,270
1085,24,conspecific,18,1,5,0.419,0.244,7.33E-04,-90,0,0.046,-0.022,270
1085,24,conspecific,18,1,6,0.418,0.261,2.83E-04,92.603,-177.397,0.045,-0.005,92.603
1085,24,conspecific,18,1,7,0.418,0.336,1.00E-03,90.591,-2.012,0.045,0.07,90.591
1085,24,conspecific,18,1,8,0.42,0.379,7.21E-04,86.934,-3.657,0.047,0.113,86.934
1086,10,conspecific,18,1,1,0.384,0.266,NA,0,0,0,0,NA
1086,10,conspecific,18,1,2,0.373,0.246,3.80E-04,-118.301,0,-0.011,-0.02,241.699
1086,10,conspecific,18,1,3,0.362,0.22,4.78E-04,-113.806,4.495,-0.022,-0.046,246.194
1086,10,conspecific,18,1,4,0.337,0.164,1.00E-03,-113.671,0.135,-0.047,-0.102,246.329
1086,10,conspecific,18,1,5,0.346,0.103,1.00E-03,-82.073,31.597,-0.038,-0.163,277.927
1086,10,conspecific,18,1,6,0.358,0.108,2.25E-04,23.629,105.702,-0.026,-0.158,23.629
1086,10,conspecific,18,1,7,0.333,0.09,5.07E-04,-144.293,-167.923,-0.051,-0.176,215.707
1086,10,conspecific,18,1,8,0.373,0.071,7.42E-04,-25.677,118.616,-0.011,-0.195,334.323
1087,13,conspecific,18,1,1,0.377,0.294,NA,0,0,0,0,NA
1087,13,conspecific,18,1,2,0.33,0.179,2.00E-03,-112.593,0,-0.047,-0.115,247.407
