image_num,nudi_num,trial_type,temp,trial_ord,frame_num,rawx_m,rawy_m,v_ms,rawdeg,change_deg,fixx_m,fixy_m,fixdeg
1101,22,predator,16,1,1,0.427,0.285,NA,0,0,0,0,NA
1101,22,predator,16,1,2,0.399,0.227,0.001,-115.796,115.796,-0.028,-0.058,244.204
1101,22,predator,16,1,3,0.398,0.363,0.002,90.406,-153.798,-0.029,0.078,90.406
1101,22,predator,16,1,4,0.39,0.501,0.002,93.576,3.17,-0.037,0.216,93.576
1101,22,predator,16,1,5,0.373,0.414,0.001,-100.582,165.842,-0.054,0.129,259.418
1101,22,predator,16,1,6,0.386,0.274,0.002,-84.877,15.705,-0.041,-0.011,275.123
1101,22,predator,16,1,7,0.38,0.073,0.003,-91.644,-6.768,-0.047,-0.212,268.356
1101,22,predator,16,1,8,0.475,0.041,0.002,-18.61,73.034,0.048,-0.244,341.39
1101,22,predator,16,1,9,0.492,0.148,0.002,80.789,99.399,0.065,-0.137,80.789
1101,22,predator,16,1,10,0.495,0.351,0.003,89.185,8.396,0.068,0.066,89.185
1101,22,predator,16,1,11,0.484,0.457,0.002,95.711,6.525,0.057,0.172,95.711
1102,7,predator,16,1,1,0.434,0.257,NA,0,0,0,0,NA
1102,7,predator,16,1,2,0.378,0.195,0.001,-132.184,132.184,-0.056,-0.062,227.816
1102,7,predator,16,1,3,0.358,0.274,0.001,104.365,-123.451,-0.076,0.017,104.365
1102,7,predator,16,1,4,0.358,0.274,0,0,-104.365,-0.076,0.017,0
1102,7,predator,16,1,5,0.36,0.553,0.005,89.603,89.603,-0.074,0.296,89.603
1102,7,predator,16,1,6,0.357,0.559,1.22E-04,113.199,23.595,-0.077,0.302,113.199
1102,7,predator,16,1,7,0.357,0.559,0,0,-113.199,-0.077,0.302,0
1102,7,predator,16,1,8,0.357,0.559,0,0,0,-0.077,0.302,0
1102,7,predator,16,1,9,0.357,0.559,0,0,0,-0.077,0.302,0
1102,7,predator,16,1,10,0.355,0.539,3.38E-04,-95.44,-95.44,-0.079,0.282,264.56
1102,7,predator,16,1,11,0.357,0.522,2.91E-04,-83.66,11.781,-0.077,0.265,276.34
1103,2,predator,16,1,1,0.469,0.257,NA,0,0,0,0,NA
1103,2,predator,16,1,2,0.48,0.241,3.34E-04,-54.782,54.782,0.011,-0.016,305.218
1103,2,predator,16,1,3,0.481,0.361,0.002,89.542,144.324,0.012,0.104,89.542
1103,2,predator,16,1,4,0.482,0.427,0.001,89.17,-0.372,0.013,0.17,89.17
1103,2,predator,16,1,5,0.477,0.325,0.002,-92.701,178.13,0.008,0.068,267.299
1103,2,predator,16,1,6,0.41,0.324,0.001,-179.182,-86.481,-0.059,0.067,180.818
1103,2,predator,16,1,7,0.389,0.466,0.002,98.512,-82.307,-0.08,0.209,98.512
1103,2,predator,16,1,8,0.478,0.487,0.002,13.309,-85.203,0.009,0.23,13.309
