nudi_id,trial_order,treatment_group,size_mm,temp_c,reaction,time_min,time_s,trial_type
24_cons1_bolt,1,18,,17.5,1,10:04,604,conspecific
10_cons1_llb,2,18,,18,1,07:14,434,conspecific
13_cons1_rollercoaster,3,18,,18.5,1,04:15,255,conspecific
28_cons1_stupid,1,16,,16,0,10:30,630,conspecific
14_cons1_birdo,2,16,,17,1,08:55,485,conspecific
19_cons1_jemma,3,16,,16.5,1,08:24,504,conspecific
23_cons1_sleepy ,1,14,,14,0,03:57,237,conspecific
16_cons1_mcqueen,2,14,,14,1,05:00,300,conspecific
18_cons1_zuko,3,14,,14.5,1,09:04,544,conspecific
6_cons1_dunkenho,1,12,,11,0,06:35,395,conspecific
11_cons1_problematic,2,12,,11,1,10:00,600,conspecific
17_cons1_tubular,3,12,,11,1,10:00,600,conspecific
4_pred1_hanna,1,12,,11,1,10:00,600,predator
8_pred1_toughguy,2,12,,11,1,10:00,600,predator
25_pred1_edmundfitzgerald,3,12,,11,1,10:00,600,predator
21_pred1_nicelittleone,1,14,,14,1,10:00,600,predator
5_pred1_ken,2,14,,14.5,1,10:00,600,predator
15_pred1_poop,3,14,,14,1,10:00,600,predator
18_pred2_zuko,4,14,,14,1,10:00,600,predator
23_pred2_sleepy,5,14,,14,1,10:00,600,predator
16_pred2_mcqueen,6,14,,14,1,10:00,600,predator
22_pred1_jenna,1,16,,16,1,10:00,600,predator
7_pred1_ignored,2,16,,16,1,10:49,600,predator
2_pred1_gorginasparks,3,16,,16,1,10:00:00,600,predator
28_pred2_stupid,4,16,,16,1,10:00:00,600,predator
19_pred2_jemma,5,16,,16,1,10:00:00,600,predator
14_pred2_birdo,6,16,,16,1,10:00:00,600,predator
12_pred1_toohottohandle,1,18,,19.5,1,10:00:00,600,predator
3_pred1_ashleigh,2,18,,18.5,1,10:00:00,600,predator
20_pred1_musty,3,18,,17.5,1,10:00:00,600,predator
13_pred2_rollercoaster,4,18,,17.5,1,10:00:00,600,predator
10_pred2_llb,5,18,,18,1,10:00:00,600,predator
24_pred2_bolt,6,18,,18.5,1,10:00:00,600,predator
17_pred2_tubular,4,12,,12,1,10:00:00,600,predator
6_pred2_dunkenho,5,12,,12,1,10:00:00,600,predator
11_pred2_let it rip,6,12,,11,1,10:00:00,600,predator
8_cons2_toughguy,4,12,,11,1,07:00,420,conspecific
25_cons2_edmundfitzgerald,5,12,,11,1,07:00,420,conspecific
4_cons2_hanna,6,12,,11,1,07:00,420,conspecific
5_cons2_ken,4,14,,14,1,07:00,420,conspecific
15_cons2_poop,5,14,,14,1,07:00,420,conspecific
21_cons2_nicelittleone,6,14,,14,1,07:00,420,conspecific
7_cons2_ignored,4,16,,16,1,07:00,420,conspecific
2_cons2_gorginasparks,5,16,,16,1,07:00,420,conspecific
22_cons2_jenna,6,16,,16,1,07:00,420,conspecific
3_cons2_ashleigh,4,18,,18,1,07:00,420,conspecific
20_cons2_musty,5,18,,19,1,07:00,420,conspecific
12_cons2_toohottohandle,6,18,,18,1,07:00,420,conspecific
